DP,Rank,Zip Code,Population,X,Y,Pop11%,Pop5%
57,204,29918,5765,-80.78836650499426,32.176993462278475,635,289
58,209,29544,5571,-78.91293654202917,33.63775634738145,613,279
59,210,29945,5544,-80.5641932583855,32.35160086695137,610,278
60,211,29059,5484,-79.99637603591903,32.79387082129821,604,275
61,215,29048,5406,-79.90456937958285,32.86537856023252,595,271
62,216,29583,5406,-79.16455444361043,33.441772440162495,595,271
63,223,29470,4840,-80.13985226521243,32.68211791407956,533,242
64,225,29591,4746,-79.29882275095041,33.33719153664651,523,238
65,229,29581,4626,-78.75452760730974,33.76114026311083,509,232
66,231,29924,4515,-80.65316387788734,32.28230210272162,497,226
67,232,29935,4515,-80.62697950409931,32.302696978645834,497,226
68,234,29429,4465,-79.71393877732461,33.01385976936464,492,224
69,235,29451,4463,-79.84679869184059,32.91037585587525,491,224
70,236,29435,4429,-80.21744150329388,32.62168405010651,488,222
71,237,29436,4352,-79.84199454103066,32.91411778457223,479,218
72,238,29940,4340,-80.57530650286434,32.34294481719833,478,217
73,251,29944,3790,-80.63926429673634,32.29312841597502,417,190
74,257,29590,3543,-79.52516983283877,33.16089094270104,390,178
75,268,29546,2914,-79.05693492610587,33.525596736450694,321,146
76,270,29458,2860,-79.5676257432998,33.127822249399,315,143
77,276,29487,2693,-80.18134292663245,32.64980104835938,297,135
78,277,29438,2638,-80.33168074989405,32.53270368040409,291,132
79,279,29450,2539,-79.76219861174167,32.976270429133464,280,127
80,280,29475,2534,-80.4234072953884,32.46125833939811,279,127
81,281,29409,2500,-79.97327542928679,32.81186376662707,275,125
82,284,29468,2479,-79.73852409731086,32.994710388335506,273,124
83,286,29439,2391,-80.01531740494994,32.77911748503944,264,120
84,289,29437,2347,-80.08606869137594,32.72400966692557,259,118
85,292,29916,2257,-80.60424356280119,32.320405887995705,249,113
86,294,29474,2210,-80.25116414620508,32.59541765459986,244,111
87,297,29482,2177,-79.91816350474663,32.85479016509816,240,109
88,300,29056,2150,-79.60645143164707,33.09758111768721,237,108
89,301,29404,2150,-79.99094784229865,32.79809881377481,237,108
90,305,29563,2039,-78.74121990364968,33.771505565988804,225,102
91,307,29448,1989,-80.0659088254956,32.739712084199574,219,100
92,309,29545,1958,-78.69114427561999,33.810509218654325,216,98
93,318,29111,1825,-79.48974194260173,33.18848554669997,201,92
94,324,29163,1665,-79.96855033821832,32.815544116092454,184,84
95,326,29426,1635,-80.23491815415177,32.60807157540298,180,82
96,332,29905,1494,-80.64077305038107,32.291953255414235,165,75
97,334,29471,1490,-80.21347752093754,32.624771575856705,164,75
98,335,29481,1482,-80.34242796312772,32.52433273053123,164,75
99,336,29580,1479,-79.30222639217462,33.33454045776182,163,74
100,347,29453,1183,-79.61629331418749,33.089915325299074,131,60
101,350,29564,1106,-79.56731100606876,33.12806739663177,122,56
102,353,29922,987,-80.85415505182745,32.12575109686012,109,50
103,354,29446,940,-80.41156291960756,32.47048386361364,104,47
104,355,29518,938,-79.42619132027856,33.237984804069264,104,47
105,359,29929,872,-80.51976074771187,32.38620912413275,96,44
106,361,29904,833,-80.61954229889432,32.30848978005505,92,42
107,362,29469,817,-79.81169164811377,32.937720554154865,90,41
108,368,29543,674,-78.8193275009112,33.710667954679764,75,34
109,370,29934,629,-80.72361240900209,32.22743009918398,70,32
110,373,29921,552,-80.79172621015682,32.17437660496934,61,28
111,375,29434,542,-79.76113583197345,32.97709822290401,60,28
112,376,29941,538,-80.59095214601241,32.33075850511224,60,27
113,377,29082,515,-80.47271262921389,32.42285466498096,57,26
114,380,29915,485,-80.86671116769858,32.11597120189854,54,25
115,381,29424,464,-79.96480373534119,32.81846232606894,52,24
116,385,29943,454,-80.84550729702859,32.13248678920753,50,23
117,388,29519,407,-79.00273524915808,33.56781258989943,45,21
118,397,29939,289,-80.83238261774628,32.14270953532606,32,15
119,405,29493,194,-80.40691138005015,32.47410692418014,22,10
120,406,29932,175,-80.7466130901786,32.20951498528571,20,9
121,407,29452,169,-80.29909571124502,32.55808400172138,19,9
